codigo,descricao,prod_url
97345BR-4ND-CP,MIST MON LAV BICA BX AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97345BR-4ND.png
97345BR-4ND-RGD,MIST MON LAV BICA BX AVID RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97345BR-4ND.png
97345BR-4ND-TT,MIST MON LAV BICA BX AVID TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97345BR-4ND.png
97347BR-4ND-BN,MIST MON LAV BICA AL AVID BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97347BR-4ND.png
97347BR-4ND-CP,MIST MON LAV BICA AL AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97347BR-4ND.png
97347BR-4ND-TT,MIST MON LAV BICA AL AVID TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97347BR-4ND.png
97348BR-4ND-RGD,MIST MON LAV BICA SUPER AL AVID RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97348BR-4ND.png
97352BR-4-BN,MIST LAV BICA BX AVID BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97352BR-4.png
97352BR-4-CP,MIST LAV BICA BX AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97352BR-4.png
97352BR-4-TT,MIST LAV BICA BX AVID TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97352BR-4.png
97358BR-4ND-CP,MIST MON LAV PAR CL AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97358BR-4ND.png
97359BR-4ND-CP,MIST LAV PAR AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97359BR-4ND.png
97046BR-4-CP,TORN LAV BICA BX CL AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97046BR-4.png
97014BR-4-CP,MIST MONO BIDE AVID CR,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97014BR-4.png
97021BR-CP,BICA BANH PAR AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97021BR.png
T97050BR-4-CP,ACAB MIST CHUV AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97050BR-4.png
T97487BR-4-CP,ACAB MIST MON CHUV/BANH AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97487BR-4.png
T97488BR-4-CP,ACAB MIST MON CHUV  AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97488BR-4.png
97494BR-BN,PORTA TOALHA BARRA AVID 457MM BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97494BR.png
97494BR-CP,PORTA TOALHA BARRA AVID 457MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97494BR.png
97495BR-BN,PORTA TOALHA BARRA AVID 610 MM BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97495BR.png
97495BR-CP,PORTA TOALHA BARRA AVID 610 MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97495BR.png
97495BR-TT,PORTA TOALHA BARRA AVID 610 MM TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97495BR.png
97498BR-BN,TOALHEIRO AVID BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97498BR.png
97498BR-CP,TOALHEIRO AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97498BR.png
97498BR-TT,TOALHEIRO AVID TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97498BR.png
97499BR-BN,CABIDE AVID BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97499BR.png
97499BR-CP,CABIDE AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97499BR.png
97502BR-BN,PAPELEIRA VERTICAL AVID BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97502BR.png
97502BR-CP,PAPELEIRA VERTICAL AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97502BR.png
97502BR-TT,PAPELEIRA VERTICAL AVID TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/97502BR.png
T97048BR-4-BN,ACAB REG GAV/PRES AVID BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97048BR-4.png
T97048BR-4-CP,ACAB REG GAV/PRES AVID CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97048BR-4.png
T97048BR-4-TT,ACAB REG GAV/PRES AVID TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97048BR-4.png
77958BR-4AND-BN,MIST MON LAV BICA BX COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77958BR-4AND.png
77958BR-4AND-BL,MIST MON LAV BICA BX COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77958BR-4AND.png
77958BR-4AND-CP,MIST MON LAV BICA BX COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77958BR-4AND.png
77958BR-4AND-RGD,MIST MON LAV BICA BX COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77958BR-4AND.png
77959BR-4AND-BN,MIST MON LAV BICA AL COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77959BR-4AND.png
77959BR-4AND-BL,MIST MON LAV BICA AL COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77959BR-4AND.png
77959BR-4AND-CP,MIST MON LAV BICA AL COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77959BR-4AND.png
77959BR-4AND-RGD,MIST MON LAV BICA AL COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77959BR-4AND.png
77967BR-BN,BICA LAV TUBE COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77967BR.png
77967BR-BL,BICA LAV TUBE COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77967BR.png
77967BR-CP,BICA LAV TUBE COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77967BR.png
77967BR-RGD,BICA LAV TUBE COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77967BR.png
77968BR-BN,BICA LAV RIBBON COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77968BR.png
77968BR-BL,BICA LAV RIBBON COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77968BR.png
77968BR-CP,BICA LAV RIBBON COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77968BR.png
77968BR-RGD,BICA LAV RIBBON COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77968BR.png
77969BR-BN,BICA LAV ROW COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR.png
77969BR-BL,BICA LAV ROW COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR.png
